date,order_id,customer_id,country,product_code,product_description,quantity,unit_price
2010-12-01 08:26:00,536365,17850,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55
2010-12-01 08:26:00,536365,17850,United Kingdom,71053,WHITE METAL LANTERN,6,3.39
2010-12-01 08:26:00,536365,17850,United Kingdom,84406B,CREAM CUPID HEARTS COAT HANGER,8,2.75
2010-12-01 08:26:00,536365,17850,United Kingdom,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39
2010-12-01 08:26:00,536365,17850,United Kingdom,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,3.39
2010-12-01 08:26:00,536365,17850,United Kingdom,22752,SET 7 BABUSHKA NESTING BOXES,2,7.65
2010-12-01 08:26:00,536365,17850,United Kingdom,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25
2010-12-01 08:28:00,536366,17850,United Kingdom,22633,HAND WARMER UNION JACK,6,1.85
2010-12-01 08:28:00,536366,17850,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85
2010-12-01 08:34:00,536367,13047,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69
2010-12-01 09:41:00,C536379,14527,United Kingdom,D,Discount,-1,27.5
2010-12-01 08:45:00,536370,12583,France,21731,RED TOADSTOOL LED NIGHT LIGHT,24,1.65
2010-12-14 11:12:00,C538723,12434,Australia,22333,RETROSPOT PARTY BAG + STICKER SET,-7,1.65
2011-04-08 08:20:00,549299,13995,United Kingdom,20978,36 PENCILS TUBE SKULLS,16,1.25
2011-05-09 13:51:00,552450,13798,United Kingdom,21932,SCANDINAVIAN PAISLEY PICNIC BAG,150,1.65
2011-06-02 17:03:00,555394,12971,United Kingdom,21463,MIRRORED DISCO BALL ,16,4.95
2011-07-06 13:14:00,559134,12700,France,22697,GREEN REGENCY TEACUP AND SAUCER,6,2.95
